,2018 Rank,Country,2018 Score,2018 Band
0,1,Sweden,70.72,Very High Proficiency
1,2,Netherlands,70.31,Very High Proficiency
2,3,Singapore,68.63,Very High Proficiency
3,4,Norway,68.38,Very High Proficiency
4,5,Denmark,67.34,Very High Proficiency
5,6,South Africa,66.52,Very High Proficiency
6,7,Luxembourg,66.33,Very High Proficiency
7,8,Finland,65.86,Very High Proficiency
8,9,Slovenia,64.84,Very High Proficiency
9,10,Germany,63.74,Very High Proficiency
10,11,Belgium,63.52,Very High Proficiency
11,12,Austria,63.13,Very High Proficiency
12,13,Poland,62.45,High Proficiency
13,14,Philippines,61.84,High Proficiency
14,15,Switzerland,61.77,High Proficiency
15,16,Romania,60.31,High Proficiency
16,17,Croatia,60.16,High Proficiency
17,18,Serbia,60.04,High Proficiency
18,19,Portugal,60.02,High Proficiency
19,20,Czech Republic,59.99,High Proficiency
20,21,Hungary,59.51,High Proficiency
21,22,Malaysia,59.32,High Proficiency
22,23,Greece,58.49,High Proficiency
23,24,Slovakia,58.11,High Proficiency
24,25,Bulgaria,57.95,High Proficiency
25,26,Lithuania,57.81,High Proficiency
26,27,Argentina,57.58,High Proficiency
27,28,India,57.13,Moderate Proficiency
28,29,Nigeria,56.72,Moderate Proficiency
29,30,Hong Kong,56.38,Moderate Proficiency
30,31,South Korea,56.27,Moderate Proficiency
31,32,Spain,55.85,Moderate Proficiency
32,33,Lebanon,55.79,Moderate Proficiency
33,34,Italy,55.77,Moderate Proficiency
34,35,France,55.49,Moderate Proficiency
35,36,Costa Rica,55.01,Moderate Proficiency
36,37,Dominican Republic,54.97,Moderate Proficiency
37,38,Belarus,53.53,Moderate Proficiency
38,39,Senegal,53.5,Moderate Proficiency
39,40,Uruguay,53.41,Moderate Proficiency
40,41,Vietnam,53.12,Moderate Proficiency
41,42,Russia,52.96,Moderate Proficiency
42,43,Ukraine,52.86,Moderate Proficiency
43,44,Macau,52.57,Moderate Proficiency
44,45,Georgia,52.28,Low Proficiency
45,46,Chile,52.01,Low Proficiency
46,47,China,51.94,Low Proficiency
47,48,Taiwan,51.88,Low Proficiency
48,49,Japan,51.8,Low Proficiency
49,50,Pakistan,51.66,Low Proficiency
50,51,Indonesia,51.58,Low Proficiency
51,52,Albania,51.49,Low Proficiency
52,53,Brazil,50.93,Low Proficiency
53,54,Ethiopia,50.79,Low Proficiency
54,55,Guatemala,50.63,Low Proficiency
55,56,Panama,49.98,Low Proficiency
56,57,Mexico,49.76,Low Proficiency
57,58,Sri Lanka,49.39,Low Proficiency
58,59,Peru,49.32,Low Proficiency
59,60,Colombia,48.9,Low Proficiency
60,61,Bolivia,48.87,Low Proficiency
61,62,Egypt,48.76,Low Proficiency
62,63,Bangladesh,48.72,Low Proficiency
63,64,Thailand,48.54,Low Proficiency
64,65,Ecuador,48.52,Low Proficiency
65,66,Iran,48.29,Very Low Proficiency
66,67,Morocco,48.1,Very Low Proficiency
67,68,Tunisia,47.85,Very Low Proficiency
68,69,Honduras,47.8,Very Low Proficiency
69,70,El Salvador,47.42,Very Low Proficiency
70,71,United Arab Emirates,47.27,Very Low Proficiency
71,72,Nicaragua,47.26,Very Low Proficiency
72,73,Turkey,47.17,Very Low Proficiency
73,74,Jordan,47.1,Very Low Proficiency
74,75,Venezuela,46.61,Very Low Proficiency
75,76,Syria,46.37,Very Low Proficiency
76,77,Azerbaijan,45.85,Very Low Proficiency
77,78,Kuwait,45.64,Very Low Proficiency
78,79,Oman,45.56,Very Low Proficiency
79,80,Kazakhstan,45.19,Very Low Proficiency
80,81,Algeria,44.5,Very Low Proficiency
81,82,Myanmar,44.23,Very Low Proficiency
82,83,Saudi Arabia,43.65,Very Low Proficiency
83,84,Afghanistan,43.64,Very Low Proficiency
84,85,Cambodia,42.86,Very Low Proficiency
85,86,Uzbekistan,42.53,Very Low Proficiency
86,87,Iraq,40.82,Very Low Proficiency
87,88,Libya,39.64,Very Low Proficiency
